"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AdersA.pvac3site","AdersA.pvac3site","","","",0,1,"","","","Element {[]} {[]}
","PVac3_Site (-22.35)","PVac3_Site (-22.35)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3site",0,1,"",""
"AdersA.pvac3doseinseries","AdersA.pvac3doseinseries","","","",0,1,"","","","Element {[]} {[]}
","PVac3_DoseInSeries (-22.36)","PVac3_DoseInSeries (-22.36)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3doseinseries",0,1,"",""
"AdersA.pvac3date","AdersA.pvac3date","","","",0,1,"","","","Element {[]} {[]}
","PVac3_Date (-22.37)","PVac3_Date (-22.37)","","","","","","","","","",,,,,"",,,,"AdersA.pvac3date",0,1,"",""
"AdersA.pvac4typebrand","AdersA.pvac4typebrand","","","",0,1,"","","","Element {[]} {[]}
","PVac4_TypeBrand (-22.41)","PVac4_TypeBrand (-22.41)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4typebrand",0,1,"",""
"AdersA.pvac4mfgr","AdersA.pvac4mfgr","","","",0,1,"","","","Element {[]} {[]}
","PVac4_Mfgr (-22.42)","PVac4_Mfgr (-22.42)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4mfgr",0,1,"",""
"AdersA.pvac4lot","AdersA.pvac4lot","","","",0,1,"","","","Element {[]} {[]}
","PVac4_Lot (-22.43)","PVac4_Lot (-22.43)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4lot",0,1,"",""
"AdersA.pvac4route","AdersA.pvac4route","","","",0,1,"","","","Element {[]} {[]}
","PVac4_Route (-22.44)","PVac4_Route (-22.44)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4route",0,1,"",""
"AdersA.pvac4site","AdersA.pvac4site","","","",0,1,"","","","Element {[]} {[]}
","PVac4_Site (-22.45)","PVac4_Site (-22.45)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4site",0,1,"",""
"AdersA.pvac4doseinseries","AdersA.pvac4doseinseries","","","",0,1,"","","","Element {[]} {[]}
","PVac4_DoseInSeries (-22.46)","PVac4_DoseInSeries (-22.46)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4doseinseries",0,1,"",""
"AdersA.pvac4date","AdersA.pvac4date","","","",0,1,"","","","Element {[]} {[]}
","PVac4_Date (-22.47)","PVac4_Date (-22.47)","","","","","","","","","",,,,,"",,,,"AdersA.pvac4date",0,1,"",""
